Municipi;Població;
Abella de la Conca;161;
Abrera;12981;
Àger;608;
Agramunt;5592;
Aguilar de Segarra;291;
Agullana;910;
Aiguafreda;2582;
Aiguamúrcia;965;
Aiguaviva;800;
Aitona;2575;
els Alamús;799;
Alàs i Cerc;325;
l'Albagés;343;
Albanyà;167;
Albatàrrec;2247;
Albesa;1571;
l'Albi;764;
Albinyana;2678;
l'Albiol;538;
Albons;828;
Alcanar;9871;
Alcanó;240;
Alcarràs;10217;
Alcoletge;3621;
Alcover;5334;
l'Aldea;4554;
Aldover;897;
l'Aleixar;980;
Alella;10200;
Alfara de Carles;363;
Alfarràs;2759;
Alfés;284;
Alforja;2027;
Algerri;426;
Alguaire;2992;
Alins;275;
Alió;506;
Almacelles;7031;
Almatret;303;
Almenar;3321;
Almoster;1338;
Alòs de Balaguer;118;
Alp;1727;
Alpens;270;
Alpicat;6466;
Alt Àneu;457;
Altafulla;5809;
Amer;2421;
l'Ametlla de Mar;7347;
l'Ametlla del Vallès;9448;
l'Ampolla;3692;
Amposta;22623;
Anglès;5915;
Anglesola;1370;
Arbeca;2085;
l'Arboç;5745;
Arbolí;129;
Arbúcies;6555;
Arenys de Mar;16513;
Arenys de Munt;9444;
Argelaguer;451;
Argençola;241;
l'Argentera;129;
Argentona;12850;
l'Armentera;1070;
Arnes;463;
Arres;63;
Arsèguel;78;
Artés;6051;
Artesa de Lleida;1536;
Artesa de Segre;3519;
Ascó;1609;
Aspa;219;
les Avellanes i Santa Linya;430;
Avià;2242;
Avinyó;2311;
Avinyonet de Puigventós;1689;
Avinyonet del Penedès;1745;
Badalona;226219;
Badia del Vallès;13109;
Bagà;2181;
Baix Pallars;344;
Balaguer;17597;
Balenyà;3999;
Balsareny;3325;
Banyeres del Penedès;3340;
Banyoles;20707;
Barbens;908;
Barberà de la Conca;480;
Barberà del Vallès;33644;
Barcelona;1686208;
la Baronia de Rialb;230;
Bàscara;1055;
Bassella;210;
Batea;1881;
Bausen;60;
Begues;7439;
Begur;4227;
Belianes;518;
Bellaguarda;295;
Bellcaire d'Empordà;737;
Bellcaire d'Urgell;1226;
Bell-lloc d'Urgell;2347;
Bellmunt d'Urgell;183;
Bellmunt del Priorat;294;
Bellprat;69;
Bellpuig;5246;
Bellvei;2409;
Bellver de Cerdanya;2266;
Bellvís;2251;
Benavent de Segrià;1571;
Benifallet;724;
Benissanet;1192;
Berga;17195;
Besalú;2577;
Bescanó;5122;
