clase;medio;texto_limpio
Lesions;El Periódico;investiguen apunyalament quatre persones bcn matinada quatre homes resultat ferits arma blanca barcelona segons confirmat catalana rebut avis minuts mati apunyalament carrer arquitecte sert capital catalana
Estafes;La Vanguardia;detienen propietaria bar corredor aseguradora simular atraco handetenidolapropietariade unbardecunit barcelona corredor seguros parasimularunatracoyestafara companiaaseguradora comprobo mujer sufrido robo hurto propietariadenuncioa local cunit noviembre desconocidos asaltaron calle amenazaron cuchillo robaron telefono movil euros efectivocuando llevaba administracion loteria raiz contradicciones relato investigadores dedujeron fingido delito admitio realidad alguien robado euros telefono movil tenia bar perosin diera
Segrest;Ara;nen anys badalona segrestat mes hondures barcelonaun nen anys viu badalona mes segrestat hondures nen diu enoc cursava institut escola rafael alberti marxar gairebe mes mig mare origen segons mitjans locals almenys quatre membres familia entorn assassinats tiet avi veina mainadera menor continua desaparegut desembre informacions confuses tenen constancia cas assalt aixecat expectacio hondures mare entrevistada diferents mitjans comunicacio mare noi carina chinchilla explicar gener entrevista canal hch television digital rebut cap trucada assaltants demanant rescat desesperada dir mare despres denunciar inseguretat segons dir atacar nomes robar insistir devien diners ningu
Segrest;Ara;concentracio placa catalunya exigir retorn menor segrestat hondures barcelonauna vuitantena persones familiars amics companys escola concentrat migdia placa catalunya barcelona exigir recerca retorn nen enoc anys alumne escola institut rafael alberti badalona sersegrestat desembre hondures nen tornat origen visita familia desapareixer atracament morir assassinats tiet avi mainadera mare menor continua hondures recerca fill adrecat concentrats migdia telefon agrair suport crec segrestadors pensar podrien treure diners segrest desembre res assegurat representants col lectiu ciutadans hondurenys escola nen exigit autoritats posin mitjans rescatar noi directora centre estudiava noi neus casablanca demanat tambe faci pressio diplomatica
Segrest;Ara;ajuntament badalona demana reactivi nen anys segrestat hondures badalonael regidor area govern territori ajuntament badalona ruben guijarro demanat autoritats hondurenyes dilluns reactivin recerca enoc nen anys alumne institut escola rafael alberti badalona portadesaparegut desembreal despres reunir subdelegat govern barcelona carlos prieto gomez consistori demanat reunir consolat hondures barcelona ambaixada hondurenya espanya dit guijarro trobar enoc estigui casa aviat regidor explicat nivell administratiu tracta ciutada hondureny perdut hondures cosa limita marge actuacio municipi residien menor familia cal posar focus representants govern hondureny catalunya espanya pressio suficient apuntat guijarro insistit mourem calgui coneixer fets ajuntament badalona posar contacte familiars resideixen municipi oferir ajuda tambe contactar direccio centre enoc cursava familia comunitat educativa teixit associatiu barri llefia ciutat movent perque reactivi recerca enoc torni estalvi
Lesions;El Periódico;detectat girona presumpte cas maltractament nado mes generalitat traves direccio atencio infancia adolescencia dgaia estudia presumpte cas maltractament infantil pares cap nado nomes quatre setmanes vida segons pogut periodico alerta donatl hospital josep trueta girona despres detectarlesions cos menorque podrien compatibles cas maltractament
Homicidi per imprudència;Ara;trajecte mortifer planxa voladora barcelonael pis barri torreforta tarragona vivia home morir ensorrar sostre situat mes quilometres empresa quimica iqoxe canonja onaquest dimarts produir explosio pis trobat planxa metal lica segons investigacio entrar disparada despres impactar finestra cosa provocar ensorres part sostre pis victima placa pesa gairebe tona venia empresa quimica passar explosio primers indicis investigacio bombers apunten direccio alcalde tarragona pau ricoma admes agencia efe hipotesi mes probable experts asseguren possible ona expansiva explosio dispares planxa pis mostren sorpresos distancia recorreguda empresa habitatge catedratic emerit enginyeria quimica universitat rovira virgili urv francesc castells reconeix costa creure explosio ahir pot peca surti forca cano estrany pot passat deixa sorprendre castells perque placa part gairebe metres mes ample centimetres gruix
Homicidi Consumat;La Vanguardia;detenido lider moteros united tribuns control droga clubes nocturnos lapolicia nacionalesta desarrollando manana operacion desmantelar implantacion banda motera origen aleman denominadaunited tribuns nomads spain decena detenidos barcelona registros habian instalando mallorca mantenian contactos ramificaciones catalunya valencia tarragona barcelona informan fuentes juridicas ala vanguardia registros encontrado armas dinero efectivo drogas operacion pilotando juzgado instruccion numero mallorca udyco agentes comisaria informacion agentes especializados bandas urbanas investigadores detectaron instalacion espana dedicaban altrafico drogas locales nocturnos fiestas clandestinase prostibulos mallorca
Lesions;El Periódico;mosso mata exparella suicida terrassa unmosso esquadrapresumptament assassinat parella suicidat despres aterrassa valles occidental barcelona segons pogut confirmar diari agent perpetrat suposatcrim masclistaamb sevaarma focreglamentaria
Homicidi Consumat;Ara;investiguen relacio dues morts apunyalament hora ciutat vella barcelonatres fets mes hora menys quilometre distancia obert investigacio determinar dues morts apunyalament passat tarda districte ciutat vella barcelona relacionats agents recopilat indicis apunten direccio segons fonts policials explicat consideren aviat confirmar breu marge temps fets distancia pensar investigadors home pot darrere sospita dirigeix home detingut agents guardia urbana placa sant jaume despres ultim fets sigut apunyalament sequencia successos comencat despres tarda bombers rebut avis incendi pis carrer portal nou tocar passeig lluis companys foc calcinat habitacions quarts hora despres cop extingit trobat cadaver home bombers avisat investigat tractava incendi provocat causa mort victima espera resultats autopsia
