Título;Enlace;Fecha;Primeros_Párrafos;Etiqueta;text;idioma;loc_final
Los exóticos destinos de los relojes de lujo robados en Barcelona;https://www.larazon.es/cataluna/barcelona/exoticos-destinos-relojes-robados-barcelona_20250615684e90c8cf3ee62af1e68873.html;15/06/2025;"Los relojes de lujo robados en Barcelona y otras ciudades españolas siguen un complejo circuito internacional que los lleva desde las calles donde son sustraídos hasta mercados ilegales en países de todo el mundo. La investigación de estas redes criminales ha revelado un sistema organizado que convierte estos objetos de lujo en dinero en efectivo a través de múltiples canales. Los relojes robados en España tienen como destino final principalmente países de Oriente Medio, Rusia, Israel y China . Según las autoridades policiales, ""un reloj robado en Marbella es más que probable que acabe en Moscú, Macao, o Dubai a que sea vendido en Barcelona"". Esta distribución geográfica se debe a que en estos países ""no es necesario para su venta disponer de la documentación individual de autenticidad del reloj, basta con un peritaje que lo acredite"". Dubai se ha consolidado como uno de los principales mercados de destino para los relojes de lujo, tanto legales como ilegales. El emirato representa el octavo mercado más importante de relojes suizos a nivel mundial, y las sanciones internacionales han aumentado la demanda de rusos adinerados que buscan paraísos financieros para sus inversiones.";Successos;"Los exóticos destinos de los relojes de lujo robados en Barcelona Los relojes de lujo robados en Barcelona y otras ciudades españolas siguen un complejo circuito internacional que los lleva desde las calles donde son sustraídos hasta mercados ilegales en países de todo el mundo. La investigación de estas redes criminales ha revelado un sistema organizado que convierte estos objetos de lujo en dinero en efectivo a través de múltiples canales. Los relojes robados en España tienen como destino final principalmente países de Oriente Medio, Rusia, Israel y China . Según las autoridades policiales, ""un reloj robado en Marbella es más que probable que acabe en Moscú, Macao, o Dubai a que sea vendido en Barcelona"". Esta distribución geográfica se debe a que en estos países ""no es necesario para su venta disponer de la documentación individual de autenticidad del reloj, basta con un peritaje que lo acredite"". Dubai se ha consolidado como uno de los principales mercados de destino para los relojes de lujo, tanto legales como ilegales. El emirato representa el octavo mercado más importante de relojes suizos a nivel mundial, y las sanciones internacionales han aumentado la demanda de rusos adinerados que buscan paraísos financieros para sus inversiones.";es;Cataluña
Barcelona no es la ciudad más peligrosa: Cataluña lidera la reducción de criminalidad en España;https://www.larazon.es/cataluna/barcelona/barcelona-ciudad-mas-peligrosa-cataluna-lidera-reduccion-criminalidad-espana_20250531683b1b583407f96812b40ec1.html;31/05/2025;Son constantes los artículos que afirman que Barcelona es la ciudad más peligrosa de España , basándose en los datos del Índice de Criminalidad de Numbeo . En una simple búsqueda a este listado podemos ver que, lejos d ser un análisis estadístico de estudio en profundidad profesional, Numbeo depende de la información aportada por usuarios no verificados y de una colaboración abierta que puede carecer de fiabilidad, lo que pone en duda la precisión de sus datos y su capacidad para ofrecer comparativas exactas. Además, Barcelona se encuentra en el puesto 130 de las 380 ciudades analizadas como más conflictivas. Ni de lejos una de las más peligrosas del mundo. Por ende, esta afirmación no solo es exagerada , sino que también omite hechos clave que reflejan una realidad completamente diferente . Cataluña , y especialmente Barcelona , han experimentado en los primeros meses de 2025 una bajada significativa en la criminalidad , desafiando las declaraciones alarmistas. De hecho, Cataluña lidera la reducción de delitos en comparación con otras regiones de España, con una caída del 6% en la criminalidad, doblando la media nacional, que es de solo -2,8% .;Successos;Barcelona no es la ciudad más peligrosa: Cataluña lidera la reducción de criminalidad en España Son constantes los artículos que afirman que Barcelona es la ciudad más peligrosa de España , basándose en los datos del Índice de Criminalidad de Numbeo . En una simple búsqueda a este listado podemos ver que, lejos d ser un análisis estadístico de estudio en profundidad profesional, Numbeo depende de la información aportada por usuarios no verificados y de una colaboración abierta que puede carecer de fiabilidad, lo que pone en duda la precisión de sus datos y su capacidad para ofrecer comparativas exactas. Además, Barcelona se encuentra en el puesto 130 de las 380 ciudades analizadas como más conflictivas. Ni de lejos una de las más peligrosas del mundo. Por ende, esta afirmación no solo es exagerada , sino que también omite hechos clave que reflejan una realidad completamente diferente . Cataluña , y especialmente Barcelona , han experimentado en los primeros meses de 2025 una bajada significativa en la criminalidad , desafiando las declaraciones alarmistas. De hecho, Cataluña lidera la reducción de delitos en comparación con otras regiones de España, con una caída del 6% en la criminalidad, doblando la media nacional, que es de solo -2,8% .;es;Cataluña
"El mito detrás de Barcelona, ""la ciudad más peligrosa de Europa""";https://www.larazon.es/cataluna/barcelona/mito-detras-barcelona-ciudad-mas-peligrosa-europa_202505056818e75d319ae75da4c1956b.html;05/05/2025;Es innegable que la seguridad en Barcelona es muy mejorable en comparación a la de otras grandes ciudades españolas. Desde 2019, cuando Barcelona registró en un solo año casi 200.000 delitos , algo que la granjeó una reputación que aún no ha podido quitarse -a pesar de descender al año siguiente, 2020, a 120.000 delitos -. Antes de nada, se aconseja saber qué entienden las estadísticas como delitos o, hablando con propiedad, infracciones penales cometidas en Barcelona . De todos esos 120.000 delitos registrados en Barcelona en 2020, cifra que ha ido escalando gradualmente cada año sin llegar a las cotas de 2019, entra desde desaparición de objetos personales -donde también entra la pérdida y olvido de los mismos- hasta el homicidio. Una vez tenido en cuenta el contexto y de dónde viene el San Benito de la ciudad condal, podemos adentrarnos en descifrar si es cierto o no el título que se le ha dado: Barcelona, la ciudad más peligrosa de Europa .;Successos;"El mito detrás de Barcelona, ""la ciudad más peligrosa de Europa"" Es innegable que la seguridad en Barcelona es muy mejorable en comparación a la de otras grandes ciudades españolas. Desde 2019, cuando Barcelona registró en un solo año casi 200.000 delitos , algo que la granjeó una reputación que aún no ha podido quitarse -a pesar de descender al año siguiente, 2020, a 120.000 delitos -. Antes de nada, se aconseja saber qué entienden las estadísticas como delitos o, hablando con propiedad, infracciones penales cometidas en Barcelona . De todos esos 120.000 delitos registrados en Barcelona en 2020, cifra que ha ido escalando gradualmente cada año sin llegar a las cotas de 2019, entra desde desaparición de objetos personales -donde también entra la pérdida y olvido de los mismos- hasta el homicidio. Una vez tenido en cuenta el contexto y de dónde viene el San Benito de la ciudad condal, podemos adentrarnos en descifrar si es cierto o no el título que se le ha dado: Barcelona, la ciudad más peligrosa de Europa .";es;Cataluña
Muere un motorista en Barcelona tras chocar con un vehículo de los Mossos;https://www.larazon.es/cataluna/barcelona/muere-motorista-barcelona-chocar-vehiculo-mossos_2025041067f7d3f9160aba0001d3aa5d.html;10/04/2025;Sobre la una del mediodía se ha producido un choque entre un motorista de 71 años y un vehículo en servicio de los Mossos d'Esquadra. El accidente fatal ha tenido lugar en la intersección entre la calle Aragón y la calle Independencia, en Barcelona. En un primer instante, el motorista ha quedado en estado crítico, pero según informa Betevé, ha fallecido más tarde en el hospital. La Guardia Urbana ya investiga los hechos, y ha cortado el tránsito tras el accidente, que s e ha restablecido dos horas después .;Successos;Muere un motorista en Barcelona tras chocar con un vehículo de los Mossos Sobre la una del mediodía se ha producido un choque entre un motorista de 71 años y un vehículo en servicio de los Mossos d'Esquadra. El accidente fatal ha tenido lugar en la intersección entre la calle Aragón y la calle Independencia, en Barcelona. En un primer instante, el motorista ha quedado en estado crítico, pero según informa Betevé, ha fallecido más tarde en el hospital. La Guardia Urbana ya investiga los hechos, y ha cortado el tránsito tras el accidente, que s e ha restablecido dos horas después .;es;Cataluña
Así es el barrio de Barcelona donde dormir es imposible: ruido, tráfico y ocio nocturno;https://www.larazon.es/cataluna/barcelona/barrio-barcelona-donde-peor-duerme-asi-vivir-ruido-trafico-ocio-nocturno_2025032967e830e68ba0d3000106becd.html;29/03/2025;Dormir bien en Barcelona no es igual para todos. Aunque la ciudad condal presume de calidad de vida , sus barrios muestran una gran desigualdad cuando cae la noche . Mientras algunos vecinos gozan del silencio que brinda la periferia, otros barceloneses duermen atrapados entre ruidos , cláxones, luces, botellones y bajos de discoteca. Un reciente estudio de la Agencia de Salud Pública de Barcelona (ASPB) alerta de que la calidad del sueño en Barcelona ha empeorado en los últimos 40 años.;Successos;Así es el barrio de Barcelona donde dormir es imposible: ruido, tráfico y ocio nocturno Dormir bien en Barcelona no es igual para todos. Aunque la ciudad condal presume de calidad de vida , sus barrios muestran una gran desigualdad cuando cae la noche . Mientras algunos vecinos gozan del silencio que brinda la periferia, otros barceloneses duermen atrapados entre ruidos , cláxones, luces, botellones y bajos de discoteca. Un reciente estudio de la Agencia de Salud Pública de Barcelona (ASPB) alerta de que la calidad del sueño en Barcelona ha empeorado en los últimos 40 años.;es;Cataluña
Un incendio en una vivienda de Barcelona deja dos heridos, uno de ellos críticos;https://www.larazon.es/cataluna/barcelona/incendio-barcelona-deja-dos-heridos-uno-ellos-criticos_2025032767e5190a6990370001f21530.html;27/03/2025;Un incendio en una vivienda de Cornellà, Barcelona, ha dejado este jueves por la madrugada dos heridos, uno de ellos una mujer en estado crítico y otro un hombre en estado leve . Según han informado el Servei d'Emergències Mèdiques (SEM) y los Bombers de la Generalitat en sendos mensajes en 'X' recogidos por Europa Press, ambos heridos han sido trasladados al Hospital Moisès Broggi de Sant Just Desvern (Barcelona). Los Bombers han explicado que el incendio ha quemado el comedor de un piso de la primera planta afectando al resto por humo.;Successos;Un incendio en una vivienda de Barcelona deja dos heridos, uno de ellos críticos Un incendio en una vivienda de Cornellà, Barcelona, ha dejado este jueves por la madrugada dos heridos, uno de ellos una mujer en estado crítico y otro un hombre en estado leve . Según han informado el Servei d'Emergències Mèdiques (SEM) y los Bombers de la Generalitat en sendos mensajes en 'X' recogidos por Europa Press, ambos heridos han sido trasladados al Hospital Moisès Broggi de Sant Just Desvern (Barcelona). Los Bombers han explicado que el incendio ha quemado el comedor de un piso de la primera planta afectando al resto por humo.;es;Cataluña
Una furgoneta del PP recorrerá la ciudad de Barcelona para denunciar la ocupación ilegal;https://www.larazon.es/cataluna/barcelona/furgoneta-recorrera-ciudad-barcelona-denunciar-ocupacion-ilegal_2025031367d2c4d09d5e65000168833a.html;13/03/2025;En el conjunto de la província de Barcelona hay, según el líder municipal del Partido Popular, Daniel Sirera, un total de 5.000 inmuebles ocupados ilegalmente . Así lo ha denunciado Sirera en la presentación de un nuevo plan ‘anitokupas’, que ha tenido lugar en el distrito de Sant Martí, en el barrio barcelonès del Besòs. El plan se basa en la creación de una furgoneta móvil , que recorrerá durante 15 días por los 73 barrios de la Ciudad Condal. En las paradas que realizará el vehículo en cada barrio se desplegará una carpa donde se ofrecerá “ asesoramiento jurídico ” a los afectados que lo soliciten. “Escucharemos al vecino”, ha asegurado el alcaldable del PP. La furgoneta, pintada con el lema ‘ Fuera Okupas ’, también muestra un número de teléfono móvil que servirá para “realizar denuncias”. Según Sirera, en la ciudad de Barcelona hay actualmente 2.000 inmuebles ocupados ilegalmente, “una lacra que afecta a Cataluña y Barcelona”. En este sentido, ha pedido al alcalde de Barcelona, el socialista Jaume Collboni, “que tome medidas serias”, “empezando por los 21 edificios públicos que están ocupados y pagamos entre todos”. El líder del PP de Barcelona ha anunciado que su grupo municipal ha denunciado a Collboni ante el portal de Transparencia por no ofrecer la localización de estos edificios públicos afectados.;Successos;Una furgoneta del PP recorrerá la ciudad de Barcelona para denunciar la ocupación ilegal En el conjunto de la província de Barcelona hay, según el líder municipal del Partido Popular, Daniel Sirera, un total de 5.000 inmuebles ocupados ilegalmente . Así lo ha denunciado Sirera en la presentación de un nuevo plan ‘anitokupas’, que ha tenido lugar en el distrito de Sant Martí, en el barrio barcelonès del Besòs. El plan se basa en la creación de una furgoneta móvil , que recorrerá durante 15 días por los 73 barrios de la Ciudad Condal. En las paradas que realizará el vehículo en cada barrio se desplegará una carpa donde se ofrecerá “ asesoramiento jurídico ” a los afectados que lo soliciten. “Escucharemos al vecino”, ha asegurado el alcaldable del PP. La furgoneta, pintada con el lema ‘ Fuera Okupas ’, también muestra un número de teléfono móvil que servirá para “realizar denuncias”. Según Sirera, en la ciudad de Barcelona hay actualmente 2.000 inmuebles ocupados ilegalmente, “una lacra que afecta a Cataluña y Barcelona”. En este sentido, ha pedido al alcalde de Barcelona, el socialista Jaume Collboni, “que tome medidas serias”, “empezando por los 21 edificios públicos que están ocupados y pagamos entre todos”. El líder del PP de Barcelona ha anunciado que su grupo municipal ha denunciado a Collboni ante el portal de Transparencia por no ofrecer la localización de estos edificios públicos afectados.;es;Cataluña
La segunda noche de disturbios en Salt se salda con seis detenidos;https://www.larazon.es/cataluna/barcelona/segunda-noche-disturbios-salt-salda-6-detenidos_2025031267d1d2209ce7140001af7299.html;12/03/2025;"El municipio de Salt, en Girona, vivió ayer por la noche la segunda noche de disturbios consecutiva , liderados por grupos de encapuchados que protestaban por el desahucio de un ""ex imán"". La concentración, no comunicada, terminó con seis detenidos tras el lanzamiento de objetos contra agentes de los Mossos d’Esquadra. Las protestas tienen su origen en el desahucio de un imán subsahariano que llevaba cinco años sin pagar el alquiler de su vivienda, que era propiedad de una entidad bancaria. Tras ser desalojado, el imán trató de volver a ocupar la casa de manera ilegal, lo que provocó fuertes enfrentamientos con la policía. El lunes tuvieron lugar los primeros incidentes, cuando cerca de 200 personas se concentraron frente a la comisaría de los Mossos d’Esquadra lanzando piedras y huevos contra los agentes. Rápidamente intervinieron los antidisturbios para tratar de controlar la situación. La noche siguiente, sin embargo, la violencia se disparó con la presencia de encapuchados que atacaron a los policías, quemaron contenedores y causaron destrozos en el mobiliario urbano. De los seis radicales detenidos, la mitad eran menores de edad.";Successos;"La segunda noche de disturbios en Salt se salda con seis detenidos El municipio de Salt, en Girona, vivió ayer por la noche la segunda noche de disturbios consecutiva , liderados por grupos de encapuchados que protestaban por el desahucio de un ""ex imán"". La concentración, no comunicada, terminó con seis detenidos tras el lanzamiento de objetos contra agentes de los Mossos d’Esquadra. Las protestas tienen su origen en el desahucio de un imán subsahariano que llevaba cinco años sin pagar el alquiler de su vivienda, que era propiedad de una entidad bancaria. Tras ser desalojado, el imán trató de volver a ocupar la casa de manera ilegal, lo que provocó fuertes enfrentamientos con la policía. El lunes tuvieron lugar los primeros incidentes, cuando cerca de 200 personas se concentraron frente a la comisaría de los Mossos d’Esquadra lanzando piedras y huevos contra los agentes. Rápidamente intervinieron los antidisturbios para tratar de controlar la situación. La noche siguiente, sin embargo, la violencia se disparó con la presencia de encapuchados que atacaron a los policías, quemaron contenedores y causaron destrozos en el mobiliario urbano. De los seis radicales detenidos, la mitad eran menores de edad.";es;Cataluña
Cuatro detenidos por presuntamente robar con violencia en 9 tiendas de Barcelona;https://www.larazon.es/cataluna/barcelona/cuatro-detenidos-presuntamente-robar-violencia-9-tiendas-barcelona_2025031167d000eabd6bf000014e8f2e.html;11/03/2025;Los Mossos d'Esquadra han detenido a cuatro hombres por presuntamente formar parte de un grupo criminal vinculado con el robo con violencia en nueve tiendas de Barcelona. Según ha informado el cuerpo este martes en un mensaje en 'X' recogido por Europa Press, los detenidos supuestamente accedían a las tiendas tapados con cascos y amenazaban a los trabajadores con armas blancas . Han indicado que los detenidos utilizaban motos robadas para aproximarse y huir de los locales, que actuaban en cualquier momento del día y que acumulan hasta un total de 93 antecedentes policiales.;Successos;Cuatro detenidos por presuntamente robar con violencia en 9 tiendas de Barcelona Los Mossos d'Esquadra han detenido a cuatro hombres por presuntamente formar parte de un grupo criminal vinculado con el robo con violencia en nueve tiendas de Barcelona. Según ha informado el cuerpo este martes en un mensaje en 'X' recogido por Europa Press, los detenidos supuestamente accedían a las tiendas tapados con cascos y amenazaban a los trabajadores con armas blancas . Han indicado que los detenidos utilizaban motos robadas para aproximarse y huir de los locales, que actuaban en cualquier momento del día y que acumulan hasta un total de 93 antecedentes policiales.;es;Cataluña
Detenidos 2 jóvenes por presuntamente apuñalar a un menor en Barcelona;https://www.larazon.es/cataluna/barcelona/detenidos-2-jovenes-presuntamente-apunalar-menor-barcelona_2025030667c9bd349ce7140001a50168.html;06/03/2025;Los Mossos d'Esquadra detuvieron este miércoles a dos jóvenes de 19 y 23 años, por presuntamente apuñalar a un menor de 17 años el 14 de febrero en la plaza Catalunya de Barcelona, según han explicado fuentes conocedoras a Europa Press este jueves. Según ha avanzado 'El Caso', las detenciones se han realizado por tentativa de homicidio. Los arrestados acumulan 5 antecedentes policiales. El incidente se produjo sobre las 22 horas , cuando la víctima fue asaltada por dos personas y recibió una cuchillada en el abdomen, con afectación en el estómago. El menor fue trasladado de urgencia al Hospital del Mar en estado grave, aunque su vida no corrió peligro. Por su lado, los dos atacantes lograron huir antes de la llegada de la policía.;Successos;Detenidos 2 jóvenes por presuntamente apuñalar a un menor en Barcelona Los Mossos d'Esquadra detuvieron este miércoles a dos jóvenes de 19 y 23 años, por presuntamente apuñalar a un menor de 17 años el 14 de febrero en la plaza Catalunya de Barcelona, según han explicado fuentes conocedoras a Europa Press este jueves. Según ha avanzado 'El Caso', las detenciones se han realizado por tentativa de homicidio. Los arrestados acumulan 5 antecedentes policiales. El incidente se produjo sobre las 22 horas , cuando la víctima fue asaltada por dos personas y recibió una cuchillada en el abdomen, con afectación en el estómago. El menor fue trasladado de urgencia al Hospital del Mar en estado grave, aunque su vida no corrió peligro. Por su lado, los dos atacantes lograron huir antes de la llegada de la policía.;es;Cataluña
Sindicatos de Mossos piden ampliar su plantilla de tráfico tras el aumento de accidentes;https://www.larazon.es/cataluna/barcelona/sindicatos-mossos-piden-ampliar-plantilla-trafico-aumento-accidentes_2025030567c845f89ce7140001a17398.html;05/03/2025;"Consideran que las dotaciones actuales son "" absolutamente insuficientes "" Los sindicatos de Mossos d'Esquadra SAP-FEPOL y SME-FEPOL piden una ampliación de la plantilla en la especialización de tráfico después del aumento de accidentes en las carreteras catalanas en el último año, ya que consideran que las dotaciones actuales son "" absolutamente insuficientes "". En un comunicado de este miércoles, las dos organizaciones de trabajadores de la policía catalana han catalogado de ""absolutamente insuficientes"" las dotaciones actuales de especialistas de tráfico en Cataluña, y aún más teniendo en cuenta que el índice de siniestralidad es "" muy elevado en comparación con años anteriores "", apuntan.";Successos;"Sindicatos de Mossos piden ampliar su plantilla de tráfico tras el aumento de accidentes Consideran que las dotaciones actuales son "" absolutamente insuficientes "" Los sindicatos de Mossos d'Esquadra SAP-FEPOL y SME-FEPOL piden una ampliación de la plantilla en la especialización de tráfico después del aumento de accidentes en las carreteras catalanas en el último año, ya que consideran que las dotaciones actuales son "" absolutamente insuficientes "". En un comunicado de este miércoles, las dos organizaciones de trabajadores de la policía catalana han catalogado de ""absolutamente insuficientes"" las dotaciones actuales de especialistas de tráfico en Cataluña, y aún más teniendo en cuenta que el índice de siniestralidad es "" muy elevado en comparación con años anteriores "", apuntan.";es;Cataluña
