Título,Enlace,Fecha,texto,idioma,clase,provincia,ciudad
Els Mossos investiguen l'apunyalament de quatre persones a BCN,https://www.elperiodico.cat/ca/successos/20200105/els-mossos-investiguen-lapunyalament-de-quatre-persones-a-barcelona-7795476,05/01/2020,"Els Mossos investiguen l'apunyalament de quatre persones a BCN Aquesta matinada quatre homes han resultat ferits per arma blanca a Barcelona, segons han confirmat els Mossos. La policia catalana ha rebut l’avís, pocs minuts abans de les 6.45 del matí, d’un apunyalament al carrer Arquitecte Sert de la capital catalana.",ca,Lesions,Barcelona,Barcelona
Detienen la propietaria de un bar y su corredor de la aseguradora por simular un atraco,https://www.lavanguardia.com/local/catalunya/20200108/472785555386/detienen-propietaria-bar-corredor-aseguradora-simular-atraco-cunit.html,08/01/2020,"Detienen la propietaria de un bar y su corredor de la aseguradora por simular un atraco Los Mossos d’Esquadra handetenidolapropietariade unbardeCunit(Barcelona) y su corredor de seguros parasimularunatracoyestafara la compañíaaseguradora. La policía comprobó que la mujer no había sufrido un robo, sino un hurto. La propietariadenuncióa la Policía Local de Cunit el 25 de noviembre que cuatro días antes dos desconocidos la asaltaron por la calle y la amenazaron con un cuchillo. Según ella,le robaron el teléfono móvil y 1.500 euros en efectivocuando los llevaba a una administración de lotería. A raíz de las contradicciones de su relato, los investigadores dedujeron que había fingido el delito, y ella lo admitió. En realidad, alguien le había robado 1.300 euros y un teléfono móvil que tenía en el bar, perosin que ella se diera cuenta.",es,Estafes,Tarragona,Cunit
La mare menor d'edat del nadó que el seu pare va llançar al riu Besòs havia demanat ajuda per avortar,https://www.ara.cat/societat/llancat-besos-demanar-ajuda-avortar_1_2603153.html,09/01/2020,"La mare menor d'edat del nadó que el seu pare va llançar al riu Besòs havia demanat ajuda per avortar BarcelonaLa mare del nadó que va ser llançat pel pare al riu Besòs el setembre passat havia demanat ajuda als serveis municipals de l'Hospitalet de Llobregat per avortar, segons ha publicat aquest dijousEl Periódico. La noia, de 16 anys, va adreçar-se el 13 de març de l'any passat al punt d'informació municipal Salut Jove quan ja estava embarassada de dos o tres mesos. Allà va ser atesa per una educadora del centre que va confirmar-li el seu estat amb un test. Amb tot, se li va indicar que la llei no li permetia interrompre l'embaràs sense el permís dels seus pares perquè tenia 16 anys i que, com a molt, podia anar a un centre mèdic per informar de la seva situació. La jove no ho va fer mai i, com que no existeix cap protocol que obligui l'educadora a comunicar-ho –per tal de garantir la confidencialitat del servei– o a fer cap seguiment del cas, la noia va portar l'embaràs en secret fins al final. El 2015, l'executiu de Mariano Rajoy va reformar la llei orgànica de salut sexual i reproductiva iva eliminar el dret de les dones de 16 i 17 anys a avortar com a dones adultes. Feia cinc anys que el govern de José Luis Rodríguez Zapatero havia fixat com a ""requisit comú"" que el consentiment per interrompre l'embaràs els correspongués exclusivament a elles. Amb la modificació de la norma, perpetrada pel PP, actualment les joves no poden decidir voluntàriament i se'ls apliquen les mateixes limitacions que a les menors de 16 anys:necessiten l'autorització dels pares.",ca,No és delicte,,
"Un nen de 12 anys de Badalona, segrestat des de fa un mes a Hondures",https://www.ara.cat/societat/segrest-badalona-hondures-nen-12-anys-rafael-alberti_1_2602699.html,10/01/2020,"Un nen de 12 anys de Badalona, segrestat des de fa un mes a Hondures BarcelonaUn nen de 12 anys que viu a Badalona fa un mes que està segrestat a Hondures. El nen, que es diu Enoc i cursava 1r d'ESO a l'institut escola Rafael Alberti, va marxar fa gairebé un mes i mig amb la seva mare al seu país d'origen. Segons alguns mitjans locals, almenys quatre membres de la seva família i el seu entorn han estat assassinats (un tiet, l'avi, una veïna i la mainadera), mentre que el menor continua desaparegut des del 2 de desembre. Les informacions són confuses. Els Mossos d'Esquadra no tenen constància del cas. L'assalt ha aixecat molta expectació a Hondures, on la mare ha estat entrevistada per diferents mitjans de comunicació. La mare del noi, Carina Chinchilla, va explicar el 2 de gener en una entrevista al canal HCH Television Digital que encara no han rebut cap trucada dels assaltants demanant un rescat. ""Estic desesperada"", va dir la mare, després de denunciar la inseguretat del país. Segons va dir, ""els van atacar només per robar-los"" i va insistir que no devien diners a ningú.",ca,Segrest,Barcelona,Badalona
El figurant d'una roda de reconeixement va acabar a la presó,https://www.elperiodico.cat/ca/successos/20200111/preso-figurant-roda-reconeixement-girona-7802212,11/01/2020,"El figurant d'una roda de reconeixement va acabar a la presó «Undespropòsitdifícil d’explicar». Així qualifica una sentència de l’Audiènciade Gironael periple que ha viscut un home que va estar un mes a la presó després que l’identifiquessin en una roda de reconeixement en què va fervoluntàriament de figuranti que, tot i la prova «aclaparadora» que acreditava que no va participar en una baralla i en una suposada agressió sexual a la sortida d’una discoteca de Girona el 2018, va acabar anant a judici ienfrontant-se a 14 anys de presó.",ca,No és delicte,,
Concentració a plaça Catalunya per exigir el retorn del menor segrestat a Hondures,https://www.ara.cat/societat/concentracio-placa-catalunya-segrestat-hondures_1_2601688.html,11/01/2020,"Concentració a plaça Catalunya per exigir el retorn del menor segrestat a Hondures BarcelonaUna vuitantena de persones, entre familiars, amics i companys de l'escola, s'han concentrat a les 15.00 h del migdia a la plaça de Catalunya de Barcelona per exigir la recerca i el retorn del nen Enoc, de 12 anys, alumne de l'Escola Institut Rafael Alberti de Badalona que va sersegrestat el 2 de desembre a Hondures.El nen, que havia tornat al seu país d'origen per fer una visita a la família, va desaparèixer durant un atracament on van morir assassinats el seu tiet, el seu avi i la seva mainadera. La mare del menor, que continua a Hondures a la recerca del seu fill, s'ha adreçat als concentrats aquest migdia per telèfon per agraïr-los el suport. ""Jo crec que els segrestadors van pensar que en podrien treure diners, del segrest, però des del 2 de desembre no en sabem res"", ha assegurat. Els representants del col·lectiu de ciutadans hondurenys i de l'escola del nen han exigit a les autoritats que posin tots els mitjans per rescatar el noi. La directora del centre on estudiava el noi, Neus Casablanca, ha demanat també que es faci ""pressió diplomàtica"".",ca,Segrest,Barcelona,Badalona
L'Ajuntament de Badalona demana que es reactivi la cerca del nen de 12 anys segrestat a Hondures,https://www.ara.cat/societat/badalona-demana-reactivi-recerca-desaparegut_1_2602703.html,13/01/2020,"L'Ajuntament de Badalona demana que es reactivi la cerca del nen de 12 anys segrestat a Hondures BadalonaEl regidor de l'àrea de govern i territori de l'Ajuntament de Badalona, Rubén Guijarro, ha demanat a les autoritats hondurenyes aquest dilluns que reactivin la recerca de l'Enoc, el nen de 12 anys i alumne de l'Institut Escola Rafael Alberti de Badalona que portadesaparegut des del 2 de desembreal país. Després de reunir-se amb el subdelegat del govern a Barcelona, Carlos Prieto Gómez, el consistori ha demanat reunir-se tant amb el consolat d'Hondures a Barcelona com amb l'ambaixada hondurenya a Espanya per, ha dit Guijarro, ""trobar l'Enoc i que estigui a casa aviat"". El regidor ha explicat que a nivell administratiu es tracta ""d'un ciutadà hondureny perdut a Hondures"", cosa que limita el marge d'actuació des del municipi on residien el menor i la seva família. ""Cal posar el focus en els representants del govern hondureny a Catalunya i Espanya per fer la pressió suficient"", ha apuntat Guijarro, i ha insistit: ""Ens mourem tot el que calgui"". Quan es van conèixer els fets, l'Ajuntament de Badalona es va posar en contacte amb els familiars que resideixen al municipi i els va oferir la seva ajuda. També va contactar amb la direcció del centre on l'Enoc cursava 1r d'ESO. ""La família, la comunitat educativa, el teixit associatiu del barri de Llefià i la ciutat s'estan movent perquè es reactivi la recerca i l'Enoc torni sa i estalvi"".",ca,Segrest,Barcelona,Badalona
L'empresa no va avisar de l'explosió i va endarrerir l'alerta d'emergència,https://www.ara.cat/societat/explosio-quimica-tarragona-no-avisar-empresa-alerta-emergencia-sirenes-proteccio-civil-canonja-avisos-mobils_1_1156667.html,15/01/2020,"L'empresa no va avisar de l'explosió i va endarrerir l'alerta d'emergència BarcelonaCap avís. L'empresa química Iqoxe de la Canonja, on ahir es va produirl'explosió que ha deixat tres morts, no va trucar al 112 ni al CECAT –el Centre de Coordinació Operativa de Catalunya– per alertar que tenia un incendi a la seva planta. Així ho expliquen fonts de Protecció Civil a l'ARA, que, malgrat no tenir informació de per què l'empresa no va donar l'avís, ho atribueixen a la magnitud de l'explosió i a l'afectació personal. La falta de comunicació, però, va fer endarrerir l'alerta d'emergència. Com que la companyia no va dir res i les primeres informacions van arribar per les trucades al 112, els primers minuts van destinar-se a identificar l'empresa on s'havia produït l'explosió. Això també va suposar que no se sabia, en un primer moment, quina substància cremava. Les trucades per l'explosió es van rebre a les 18.45 h, i a les 19.01 h Protecció Civil va enviar una primera informació per SMS als alcaldes de sis municipis de la zona afectada –Constantí, el Morell, Reus, Salou, Tarragona i Vila-seca– en què alertava d'una explosió amb incendi al polígon sud de Tarragona en una empresa pendent d'identificar. Es va fer una ronda de trucades a diverses plantes del complex petroquímic fins a localitzar l'afectada, i això va coincidir amb l'arribada dels Bombers, que van poder concretar els productes que cremaven. Mentre tot això passava, a les 19.15 h Protecció Civil va fer un tuit en què demanava el confinament de set municipis de manera preventiva. Els següents minuts va publicar nous missatges en què reduïa l'afectació i a les 19.34 h va dir que es farien sonar les sirenes, peròno es van arribar a sentir mai.",ca,No és delicte,,
La mort d'un dels ferits crítics eleva a tres les víctimes mortals de l'explosió de Tarragona,https://www.ara.cat/societat/explosio-incendi-industria-quimica-tarragona-dues-victimes-mortals_1_1093895.html,15/01/2020,"La mort d'un dels ferits crítics eleva a tres les víctimes mortals de l'explosió de Tarragona Tarragona / BarcelonaJa són tres les víctimes mortals perl'explosió a la indústria química de Tarragona dimarts a la tarda. El ferit crític que estava ingressat a la unitats de cremats de l'Hospital Vall d'Hebron ha mort aquest dimecres. Aquesta víctima s'afegeix al cos sense vida del treballador desaparegut des d'ahir, que, segons fonts sindicals, era el cap de torn de la planta. Els cossos d'emergència ja han pogut accedir-hi per rescatar el cos de la víctima i a hores d'ara ja l'han tret de l'interior del recinte. Ahir ja es va confirmar la mort d'un altre home per l'ensorrament del sostre de casa seva al barri de Torreforta, a Tarragona, a més de tres quilòmetres del lloc de l'explosió, a causa de l'impacte d'una placa metàl·lica que hauria sortit disparada de la planta. Els Bombers han confirmat avui que les primeres investigacions apunten que la planxa, d'aproximadament una tona de pes i de 122x165x3 centímetres, provenia de l'explosió –podria ser la tapa del reactor on es va originar l'accident. L'explosió també va deixar set treballadors ferits de diferent gravetat (un segueix molt greu, un de greu, que està ingressat al Joan XXIII, i cinc de lleus). L'empresa on es va produir l'accident, a les instal·lacions de l'antiga IQA, ara Iqoxe, treballa amb òxid d'etilè, i la gestió que s'ha fet de la crisi ha posat al centre del debat per què es va decidir no activar les sirenes d'alerta, com han criticat sindicats, alcaldes, veïns i agents com els advocats del Col·lectiu Ronda.",ca,No és delicte,,
"""Estem espantats i volem marxar d'aquí, no confiem en les fàbriques""",https://www.ara.cat/societat/espantats-volem-marxar-confiem-fabriques_1_2601071.html,15/01/2020,"""Estem espantats i volem marxar d'aquí, no confiem en les fàbriques"" Bonavista (Tarragona)A les 18:41 h es va sentir una fuita de gas molt forta, després el cel es va pintar d'un color ataronjat i l'explosió va crear una forta onada expansiva que va sacsejar i rebentar els cristalls dels veïns dels barris de Ponent de Tarragona. Així ho explica Sergio Garcia, un noi que des del 1998 viu en un edifici a 600 metres de les instal·lacions d'Iqoxe, mentre recull amb una escombra els vidres a la cuina de casa seva. ""El primer que vam fer va ser sortir corrents, perquè estava amb una amiga i li va agafar un atac d'ansietat. Vam anar a casa seva, a un quilòmetre d'aquí, i vaig intentar trucar al pare, però no hi havia línia. Estava tot col·lapsat"", explica. Quan van arribar a casa de l'amiga, diu, van obrir Twitter: ""Ens deien que ens quedéssim a casa, però les sirenes no van sonar"".",ca,No és delicte,,
