Título;Enlace;Fecha;Primeros_Párrafos;Topic
Cau una xarxa que oferia parelles de fet fraudulentes per obtenir permisos de residència;https://www.ara.cat/societat/successos/cau-xarxa-oferia-parelles-fet-fraudulentes-obtenir-permisos-residencia_1_5422500.html;25/06/2025;BarcelonaCop policial a una banda que oferia parelles de fet fraudulentes per obtenir permisos de residència a Espanya i que operava a les demarcacions de Barcelona i Girona. La xarxa desmantellada per la Policia Nacional es dedicava majoritàriament al tràfic de persones de nacionalitat marroquina mitjançant la formalització davant de notari d'unions de fet fraudulentes entre aquestes persones que volien arribar a l'Estat i ciutadans amb nacionalitat espanyola. En total, hi ha hagut 37 detinguts, set dels quals estrangers. La xarxa, formada per unes deu persones amb un líder i un nucli de col·laboradors amb rols molt definits, funcionava de la següent manera. D'una banda, a Espanya unes dones s'encarregaven de captar noies joves amb nacionalitat espanyola que estiguessin disposades a cobrar prop de 1.000 euros per constituir-se en parella de fet amb un desconegut davant de notari. De l'altra, ciutadans marroquins es dedicaven a buscar ciutadans estrangers (sovint compatriotes) que paguessin fins a 10.000 euros per constituir-se en parella de fet amb aquestes dones i així optar a la nacionalitat espanyola.;Successos
Resolt el crim d'un home que va desaparèixer a Reus fa vint anys;https://www.ara.cat/societat/successos/resolt-crim-d-home-desapareixer-reus-vint-anys_1_5417818.html;20/06/2025;"Barcelona""Bé,chuchi, no aguanto més, necessito oblidar i al teu costat no puc. Me'n vaig lluny, vull començar la meva vida des de zero"". Era el setembre del 2004 quan una dona va rebre aquest missatge al seu telèfon. Li enviava la seva exparella, amb qui tenia una filla en comú. Feia un temps que ho havien deixat. El que semblava una desaparició voluntària vint anys després s'ha demostrat que va ser un assassinat. Quan es va enviar aquell missatge, l'home ja estava mort i enterrat. Encara més: presumptament, va ser la dona qui se'l va autoenviar per ocultar el crim i fer veure que ell havia començat una nova vida a França. Ara ella, amb 47 anys, està en presó provisional com a suposada assassina. Aquest divendres efectius de la Divisió d'Investigació Criminal (DIC) dels Mossos d'Esquadra i de la Policia Nacional han fet públic que han resolt aquest crim vint anys després i quan tan sols faltaven tres mesos perquè prescrigués. La víctima va desaparèixer a Reus (Baix Camp) el 6 de setembre del 2004. Era transportista, i també tenia una empresa de manteniment d'extintors. Després de divorciar-se d'una dona amb qui ja havia tingut una filla, es va aparellar amb l'ara detinguda. També van tenir una filla que en el moment dels fets tenia sis anys. La relació, però, no va funcionar: ho van deixar i la dona va conèixer un altre home. Ell també és, presumptament, coautor del crim, però va morir l'any 2022.";Successos
Macrooperatiu contra el 'top manta' a Salou: dinou detinguts i tres agents ferits;https://www.ara.cat/societat/successos/macrooperatiu-top-manta-salou-dinou-detinguts-tres-agents-ferits_1_5414308.html;17/06/2025;BarcelonaEls Mossos d'Esquadra i la Policia Nacional han iniciat aquest dimarts al matí un operatiu contra un grup criminal que es dedicava a la venda de material falsificat, que acabaven comercialitzant els manters a la zona de Salou, al Tarragonès. El dispositiu s'ha resolt amb dinou detinguts i una gran quantitat de material falsificat comissat. S'han practicat una desena d'escorcolls en habitatges i magatzems: sis a Salou i la resta a Reus i les Borges del Camp (Baix Camp). Aquest ampli desplegament policial ha rebut una resposta hostil d'uns manters, que han llançat pedres contra la línia policial. Tres agents dels Mossos han resultat ferits i s'han produït danys en vehicles particulars i policials. El dispositiu estava format per 300 agents, entre Mossos i Policia Nacional. A més d'agents de seguretat ciutadana i ordre públic, també han pres part en l'operatiu l'helicòpter i la unitat de drons. La investigació, pels delictes d'organització criminal i contra la propietat industrial, continua oberta, segons han informat els Mossos. Fonts policials apunten que es tracta d'una investigació que ha intentat arribar al moll de l'os de la comercialització de productes falsificats, atacant els principals magatzems i els seus responsables. Les mateixes fonts apunten que s'han arrestat els líders dels grups, que s'encarregaven de rebre els productes i emmagatzemar-los en grans superfícies, sobretot a Reus. Després, els portaven a altres espais de Salou perquè estiguessin a prop dels punts de venda.;Successos
Qui hi ha darrere del segrest a Barcelona de Hichem Aboud? Cinc detinguts i uns narcos d'Andalusia;https://www.ara.cat/societat/successos/hi-darrere-segrest-barcelona-hichem-aboud-cinc-detinguts-narcos-d-andalusia_1_5413673.html;17/06/2025;BarcelonaEra un dijous d'octubre a la zona alta de Barcelona. Faltaven pocs minuts per a les dotze de la nit quan, de sobte, els veïns del carrer de Raset van sentir uns forts crits. Alguns d'ells van treure el cap per la finestra i van veure com tres encaputxats assaltaven un home i el posaven per la força a dins d'un Range Rover negre. Ningú va saber res més d'aquell home fins a l'endemà: a mil quilòmetres de Sarrià, la Guàrdia Civil va sospitar d'uns homes que, de nit, carregaven alguna cosa en una llanxa al riu Guadalquivir. S'hi van acostar i van descobrir que lamercaderiaera un home:Hichem Aboud, un periodista algerià, conegut sobretot per la seva tasca d'oposició al règim d'aquest país. A la riba del Guadalquivir la policia espanyola va detenir dos homes de 30 anys que des d'aquell moment es troben en presó preventiva. Ara bé, la investigació acabava de començar. Hi havia més autors materials del segrest? Qui l'havia ordenat? La Divisió d'Investigació Criminal (DIC) dels Mossos d'Esquadra a Barcelona, que investigava el segrest a Barcelona, i la Guàrdia Civil, que va alliberar Aboud a Andalusia, van crear un equip conjunt. Segons ha pogut saber l'ARA, han aconseguit localitzar i detenir els presumptes autors materials del segrest. El dos d'abril la policia va detenir cinc homes a les localitats de Màlaga, Fuengirola i Sanlúcar de Barrameda, i n'investiga un altre que resideix a Portugal, fins on es va desplaçar un equip de la policia catalana i l'espanyola. Quatre d'aquests arrestats ja es troben en presó preventiva.;Successos
"Hichem Aboud:""Només el govern algerià té interès per segrestar-me""";https://www.ara.cat/societat/successos/nomes-govern-algeria-interes-segrestar_128_5410912.html;17/06/2025;"BarcelonaHichem Aboud (Algèria, 1955) porta tota una vida denunciant des dels seus llibres i articles el règim algerià. Això fa que visqui vigilant, i admeti que ""pot rebre un tret en qualsevol moment"". Explica que l'han intentat segrestar quatre vegades, il'última va ser a Barcelona l'octubrepassat. Uns encaputxats el van posar a dins d'un cotxe i el van conduir fins a Andalusia. Just quan l'anaven a introduir a una barca al Guadalquivir per portar-lo presumptament a la costa africana, la Guàrdia Civil va intervenir. L'ARA ha avançat aquest dimarts que els Mossos d'Esquadra i la Guàrdia Civil han detingut cinc persones com a presumptes autors materials del seu segrest. La investigació, però, encara no ha arribat al cervell de l'operació. Qui creu que va ordenar el seu segrest?";Successos
Un 20% menys de robatoris: balanç de nou mesos de reforç policial a l'aeroport del Prat;https://www.ara.cat/societat/successos/20-menys-robatoris-balanc-nou-mesos-reforc-policial-l-aeroport-prat_1_5409610.html;12/06/2025;"El Prat de Llobregat""Juanito, què passa a l'aeroport?"". Joan Alfred Vives, sotsinspector dels Mossos d'Esquadra i cap de l'Àrea Regional de Seguretat Aeroportuària, va rebre una trucada un diumenge de setembre. A l'altra banda del telèfon hi havia el director de la policia, Josep Lluís Trapero. Aquell dia,l'ARA havia publicat un reportatgesobre la situació delinqüencial a l'aeroport, on els delictes contra el patrimoni, sobretot furts, s'havien multiplicat per deu en una dècada. A la conselleria d'Interior la notícia va córrer ràpidament i els seus dirigents es qüestionaven el mateix que minuts després faria Trapero al màxim responsable policial de l'aeroport: ""Què passa al Prat?"" En roda de premsa, Vives ha admès aquest dijous que les xifres eren ""molt complicades"". La resposta a la pregunta de Trapero va ser: ""Tenim molt poc múscul i l'exigència és molt gran"". Aquest va ser el punt de partida d'un pla d'acció policial per ""rebaixar la corba delictiva"", en paraules de la consellera d'Interior, Núria Parlon.Primer va arribar un reforç d'agentsi amb els mesos es van començar a notar els seus efectes, amb una baixada dels robatoris,tal com va explicar aquest diari. Tot plegat ha conduït fins a una trobada de la plana major dels Mossos amb el cos consular a Catalunya –que es van mostrar molt preocupats per les dades– per explicar-los aquesta baixada.";Successos
A presó el principal autor de l'agressió greu a quatre mossos a la Mariola de Lleida;https://www.ara.cat/societat/successos/detenen-principal-autor-lesions-greus-patir-quatre-mossos-mariola-lleida_1_5407983.html;11/06/2025;BarcelonaEls Mossos d'Esquadra han detingut aquest dimecres l'home considerat el principal autor de les lesions greus que van patir quatre agents la nit del 27 al 28 d'abril al barri de la Mariola de Lleida, on diverses personeses van enfrontar a la policia després d'una baralla multitudinària entre veïns. El detingut, al qual s'acusa d’homicidi dolós en grau de temptativa, desordres públics i atemptat contra els agents de l’autoritat, hauria ferit els mossos colpejant-los amb una barra de ferro al cap, segons expliquen a l'ARA des del cos. La detenció ha tingut lloc de matinada amb la participació d'efectius del Grup Especial d'Intervenció (GEI) dels Mossos, que han fet l'assalt inicial al domicili de l'arrestat, al carrer Júpiter. També hi han intervingut equips de l'ARRO i de la Brimo, així com de la unitat de drons, la canina i agents de seguretat ciutadana. La investigació continua oberta, de manera que no es descarten més detencions, i s'ha decretat el secret d'actuacions. De fet, la policia estaria buscant alguns familiars seus.;Successos
Comprar pistoles a París per portar-les a Cubelles: cau una de les primeres bandes de tràfic d'armes de Catalunya;https://www.ara.cat/societat/successos/paris-garraf-cau-primeres-bandes-traficaven-armes-catalunya_1_5403669.html;06/06/2025;"BarcelonaNormalment, en una investigació policial les drogues acaben portant a les armes. És a dir, primer se sol detectar una plantació de marihuana, o un desembarcament d'haixix, i després la policia acaba descobrint que els traficants van armats, no tant per atacar la policia, que és molt poc freqüent, sinó per defensar-se dels robatoris (coneguts com a narcoassalts ovuelcos) que pateixen per part d'altres grups criminals. Una investigació dels Mossos d'Esquadra ha canviat aquest ordre de factors i s'ha convertit en un dels primers operatius de la policia catalana contra el tràfic d'armes a Catalunya. Tal com admeten fonts del cos: les armes van acabar portant a les drogues. Tot va començar el 7 de desembre del 2023 amb una coincidència. Dos agents van aturar un vehicle i a dins hi havia alguna cosa poc habitual. Portava vuit armes semiautomàtiques amb el número de sèrie esborrat per eliminar d'on provenen. Després d'un estudi dels especialistes de balística, van descobrir que eren armes de fogueig que havien sigut manipulades per disparar bales reals. ""I no eren armes fabricades a Catalunya, venien de França"", ha explicat aquest dijous en roda de premsa l'inspector Isard Hidalgo, cap de l'Àrea d'Investigació Criminal (AIC) dels Mossos a Barcelona.";Successos
Fins a 51 detinguts en una ofensiva policial contra la droga a tot Catalunya;https://www.ara.cat/societat/mes-400-mossos-desplegats-dues-operacions-trafic-drogues-armes_1_5399846.html;03/06/2025;BarcelonaOfensiva policial contra el tràfic de marihuana. Els Mossos d'Esquadra han desplegat a les cinc del matí d'aquest dimarts més de 400 agents en dos dispositius contrael crim organitzat establert a Catalunya i vinculat al tràfic de droguesi armes. El doble operatiu ha arribat a nombrosos punts del territori català (una vintena de poblacions diferents) i, segons confirmen fonts del cos consultades per l'ARA, s'han practicat 29 detencions. Alhora, la Guàrdia Civil també ha engegat un operatiu contra el narcotràfic a Barcelona i a Girona, amb 19 escorcolls i fins a 22 arrestos. En total, aquest matí s'han efectuat fins a 51 detencions entre els dos cossos policials per tràfic de droga. Els dos dispositius dels Mossos són dues investigacions diferenciades, una que porta la Divisió d'Investigació Criminal (DIC) de Barcelona i que ha durat dos anys i una altra que dirigeix la DIC de Girona i que va començar fa un any. En tots dos casos, l'ofensiva intenta desarticular sengles bandes criminals dedicades al tràfic de marihuana, amb plantacions repartides per tot el territori. Fonts policials afirmen que han efectuat un cop important contra el tràfic de marihuana, desmantellant tres bandes molt actives, algunes d'elles vinculades a la màfia albanesa de la droga.;Macrooperatiu
"""Els Mossos em culparan a mi"": a presó per matar la parella i conviure amb el cadàver vuit mesos";https://www.ara.cat/societat/violencia-masclista/mossos-em-culparan-preso-matar-parella-conviure-cadaver-vuit-mesos_1_5394362.html;28/05/2025;"BarcelonaEl jutjat de violència sobre la dona 3 de Barcelona ha enviat a presó provisional R.N., l'home de 55 anysque els Mossos d'Esquadra van detenir diumenge passatper la mort de la seva parella en un pis de Ciutat Meridiana, al districte de Nou Barris de Barcelona. Tal com va explicar l'ARA, el cos de la dona va aparèixer en una habitació del pis i estava embolicat amb plàstics i cinta americana. Fonts consultades per aquest diari apuntaven dilluns que, segons les primeres aproximacions, la víctima feia més de mig any que estava morta. Ara, en la resolució per enviar R.N. a la presó, la magistrada concreta que presumptament l'home va matar la parella i després va ocultar el cadàver en una habitació segellada durant vuit mesos. El cadàver estava en un estat avançat de descomposició i això ha dificultat les tasques d'investigació, així com la identificació de la causa de la mort. Finalment, l'autòpsia preliminar conclou que es tractava d'una mort criminal, causada per un traumatisme cranioencefàlic. Aquests fets se situen el setembre del 2024, i no van sortir a la llum fins a aquest diumenge. Concretament, segons la resolució de la jutgessa, R.N. va alertar el seu germà amb diversos àudios dient que la seva parella feia diversos mesos que estava morta a casa. Deia que per això ell podria acabar ""ingressat"" en algun lloc. ""Els Mossos em culparan a mi"", també afirmava, i la jutgessa conclou que això demostra que era conscient que havia fet alguna cosa malament. En aquell moment, parla de confessar i de col·laborar amb la policia. Davant d'això, el germà va acudir al domicili i, en veure que el que deia el seu germà era veritat, va trucar la policia.";Violència masclista
