Título;Enlace;Fecha;Primeros_Párrafos
L’assassí masclista d’Algemesí, a la jutge, somiquejant: «¡A la presó, no! ¡A la presó, no! ¡Protegeixin-me!»;https://www.elperiodico.cat/ca/successos/20250627/lassassi-masclista-dalgemesi-a-la-119113154;27/06/2025;El presumpte assassí masclista d’Algemesí,Leonardo David A. R., de 34 anys, que aquest dimecresa la matinadava assassinar la seva dona, Alejandra, de 43 anys, i el fill de tots dos, Samuel, de 2, va perdre tota l’actitud envalentida i fatxenda que solia desplegar amb la seva parella i tota lacrueltat i acarnissament per acabar amb la vida de les seves víctimesquan va ser detingut per la Policia Nacional. Però al jutjat, quan ja sabia que se n’anava al centre penitenciari de Picassent de cap, després d’acordar-ho així lajutge de Violència sobre la Dona 1 d’Alzira, encara es va denigrar més. L’assassí masclista, perdut ja tot indici de dignitat,va esclatar en somiquejos i sanglots, tenallat pel terror. «¡Noooo! ¡A la presó, no! ¡A la presó, no! ¡Protegeixin-me! ¡M’han de protegir! ¡Ai, el meu nen, el meu nen!», va cridar, suplicant clemència, a tothom que va voler escoltar-lo.
Un educador de la presó: «Ana Julia assegura que té vídeos sexuals amb el funcionari i fa xantatge amb enfonsar el centre»;https://www.elperiodico.cat/ca/successos/20250627/ana-julia-xantatge-preso-educador-119111225;27/06/2025;DECLARA DAVANT DEL JUTGE AQUEST DIVENDRES
Moren dues persones en un incendi en un habitatge a Mataró;https://www.elperiodico.cat/ca/mataro/20250625/moren-dues-persones-en-un-119045801;25/06/2025;Un home i una dona han mort en un incendi d'habitatge a Mataró, al número 35 del carrer Misericòrdia. Els Bombers han rebut l'avís a les 10.33 i a les 10.51 ja havien extingit el foc, que s'ha localitzat bàsicament a la cuina. La resta del pis ha quedat afectat pel fum i la temperatura. A l'interior de l'immoble, que és un segon pis, han trobat els cossos d'un home i d'una dona. S'hi han desplaçat cinc dotacions, així com cinc unitats terrestres del Sistema d'Emergències Mèdiques (SEM) i un helicòpter medicalitzat. El SEM ha intentat reanimar les víctimes practicant maniobres de reanimació cardiopulmonar però sense èxit.
Un bebè d'un mes i un home, ferits greus en una nit de Sant Joan amb un miler d'avisos als bombers;https://www.elperiodico.cat/ca/societat/20250624/un-bebe-d-un-mes-118992332;24/06/2025;Unbebè d'un mes ha resultat ferit greu aquesta revetlla de Sant Joan a Palau-solità i Plegamansamb cremades de primer i segon grau al cap a causa d'un petard. Dues dotacions de Bombers van acudir a un avís d'un incendi de vegetació en un solar sense edificar al carrer Til·lers (avís a les 22.08 hores) i allà van trobar la família afectada per l'accident. El SEM ha traslladat el petit a l'àrea infantil de l'Hospital Vall d'Hebron.
Protecció Civil activa l’alerta per pluges intenses al Pirineu, Terres de l’Ebre, Lleida i la Catalunya central;https://www.elperiodico.cat/ca/successos/20250622/proteccio-civil-activa-inuncat-pluges-pirineu-118928284;22/06/2025;Davant la previsió de fortes pluges ipossibles inundacions en les pròximes hores a la meitat de Catalunya, Protecció Civil de la Generalitat ha activat en fase d’alerta elpla especial d’emergències Inuncat.Aquest diumengea la tarda i a la nital Pirineu, el Prepirineu, Ponent, Terres de l’Ebre i Catalunya Central.
Resolt un crim de fa 20 anys a Reus: detinguda per matar l’exparella amb el seu amant per quedar-se l’empresa;https://www.elperiodico.cat/ca/successos/20250620/resolt-crim-20-anys-despres-reus-detinguda-matar-parella-118832923;20/06/2025;El 6 de setembre del 2004 els familiars de Juan Manuel Leiva Gonzálezvan denunciar a la comissariade la Policia Nacional de Reus que feia tres dies que estava desaparegut. Notenien constància del seu parador i a la seva vivenda hi havia restesque s’havia absentat precipitadament. El cotxe que conduïa habitualment va ser estacionat en les proximitats de l’estació de tren de Tarragona ila seva llavors parella va rebre trucades al telèfon mòbil de personesque deien haver-lo vist a França.
El fals ‘email’ de Mossos acusant d’un delicte per aconseguir les teves dades bancàries;https://www.elperiodico.cat/ca/successos/20250617/fals-mail-alerta-delicte-robatori-dades-dv-118452656;17/06/2025;Elsintents d’estafa i suplantació d’identitat són més freqüents del que moltes persones poden arribar a imaginar. I tot i que creiem controlar-los, molts són els que acaben caient en la trampa, facilitant aixíles seves dades bancàriesi personals als lladres.
Rècord d’identificacions policials a Catalunya: 1,2 milions el 2024;https://www.elperiodico.cat/ca/successos/20250615/record-identificacions-policials-catalunya-118394946;15/06/2025;ElsMossos d’Esquadravan fer el 2024 un totalde 1.204.749 identificacions a Catalunya, laxifra més alta dels últims anys, segons dades del Departament d’Interior en resposta parlamentària. Aquest nombre no equival al de persones diferents identificades, ja que una mateixa persona pot haver sigut identificada diverses vegades. La xifra representa unaugment del 13%respecte al 2023, quan es van registrar 1.061.510 identificacions, i un creixement del 29% si es compara amb els 936.575 casos del 2022. En els últims sis anys, les identificacions han passat de 718.617 el 2019 al rècord del 2024.
Troben un cos que podria ser el de la catalana desapareguda el desembre passat al Pirineu francès amb el seu company;https://www.elperiodico.cat/ca/successos/20250612/troben-cos-catalana-desapareguda-desembre-118564669;12/06/2025;La Gendarmeria francesa ha trobatun cos a prop del cim Rulhe, al vessant nord, a la zona de l'Arieja, al Pirineu francès, que podria ser el de lamanresana Txell Fusté, segons han confirmat fonts familiars aRegió7, del mateix grup editorial que aquest diari. El cos ha estat localitzat a pocs metres d'on el passat 1 de juny van localitzar el cos d'Esteve Carbonell, a qui ja van practicar l'autòpsia la setmana passada. Fa mig any que la parella Carbonell i Fusté van desaparèixer mentre ascendien el cim Rulhe, al Pirineu francès, en una jornada de vent i neu (torb) al Pirineu.
"Vídeo | La dona que va delatar l’Ana Julia, davant del jutge: ""Va dir que mataria"" la mare del Gabriel i és capaç de contractar ""un sicari que se la carregui""";https://www.elperiodico.cat/ca/successos/20250612/video--la-dona-que-118528839;12/06/2025;"Ana Julia Quezada, l’assassina del nen Gabriel Cruz, està investigada per amenaçar des de la presó la mare del nen, Patricia Ramírez. La principal testimoni d’aquestes amenaces és unaaltra reclusa, una dona nascuda a Canàriesque va compartir presó amb l’Ana Julia. El 2 de juny, aquesta dona va declarar al jutjat d’instrucció número 1 d’Almeria que va escoltar ""moltíssimes, moltíssimes, moltíssimes vegades"" com l’assassina del Gabriel amenaçava en veu alta la Patricia, la seva mare."
