Título;Enlace;Fecha;Primeros_Párrafos;Topic
Muere una mujer en un choque frontal que ha obligado a cortar la C-16 a la altura de Cercs;https://www.lavanguardia.com/sucesos/20250301/10436452/c16-accidente-cercs-coches-corte-siniestro-fallecido.html;01/03/2025;Una mujer de 59 años ha fallecido el mediodía de este sábado en un choque frontal con otro vehículo en la C-16 en el término municipal de Cercs (Barcelona). Era una de las pasajeras de uno de los vehículos siniestrados. El accidente ha tenido lugar sobre el mediodía a la altura del kilómetro 101, donde han colisionado frontalmente dos turismos en circunstancias que los Mossos están investigando. El suceso obligó a cortar la vía en los dos sentidos de la marcha y, horas después del siniestro, la misma policía catalana ha informado de la detención de la conductora que habría provocado el siniestro por homicidio imprudente. La arrestada no ha dado positivo en las pruebas de alcoholemia, pero la policía investiga ahora qué ha sido lo que ha motivado que la mujer invadiera el carril contrario.;Sucesos
Baqueira-Beret confirma el estreno de la temporada de esquí este sábado;https://www.lavanguardia.com/sucesos/20231123/9399805/baqueira-beret-confirma-estreno-temporada-esqui-sabado.html;23/11/2023;Hace solo unos días e incluso en las últimas horas pocos daban crédito a esta noticia -en un año que va camino de ser el más seco desde que hay registros- pero los astros parecen haberse aliado con el sector del esquí y Baqueira-Beret confirmaba a última hora de anoche que este sábado, 25 de noviembre, estrena la temporada 2023/24. Será la primera estación de España en levantar el telón, gracias a las nevadas caídas las últimas horas. Una precipitación quirúrgica, esas nevadas que llegan en el momento más oportuno.;Sucesos
El crimen de la mujer hallada muerta dentro de un bidón enterrado en Lloret de Mar queda impune;https://www.lavanguardia.com/sucesos/20220918/8532404/crimen.html;18/09/2022;"El crimen de la mujer hallada muerta en junio del 2013 dentro de un bidón enterrado en una finca de Lloret de Mar (Selva) ha quedado impune. El juzgado, atendiendo a la petición del fiscal, ha archivado el caso después de que las autoridades de Argentina comunicaran que la tarotista investigada por asesinato y principal sospechosa de los hechos ha fallecido. Aparte de la vidente, el juzgado también investigaba a un vecino de la población, que fue propietario de los terrenos donde localizaron el cuerpo, que reconoció que se había encargado de ocultar el cadáver. El auto de archivo remarca que no se le puede juzgar de forma ""independiente"": ""Resulta imposible juzgarle en solitario"". La víctima era Ana María Martos, vecina de Sant Feliu de Llobregat desaparecida en 2004. La familia de la víctima denunció su desaparición el 23 de febrero del 2004. Los padres llevaban más de un mes sin saber nada de su hija de 32 años y estaban preocupados. Sin embargo, las tareas de investigación no tuvieron éxito. No fue hasta nueve años después que apareció una primera pista sobre lo que le había ocurrido a Ana Maria Martos y fue a través de tres llamadas anónimas a una asociación de familiares de personas desaparecidas Inter-SOS. Las llamadas permitieron reabrir el caso porque dieron información precisa sobre dónde estaba el cuerpo de la víctima y, también, apuntó directamente a la implicación de los dos investigados.";Sucesos
"La consellera de Justícia reconoce que ""hay margen de mejora"" en las cárceles catalanas";https://www.lavanguardia.com/sucesos/20220523/8287437/ciuro-reconoce-hay-margen-mejora-carceles-catalanas-agresion-preso.html;23/05/2022;"La consellera de Justícia, Lourdes Ciuró, ha admitido que ""hay que mejorar los recursos"" en las cárceles tras la agresión este fin de semana de un preso de Brians 2 a cinco funcionarios, de los que tres tuvieron que ser atendidos en un centro sanitario. El interno, que cumplía una condena por varios homicidios en Barcelona, ha sido trasladado a la prisión de Quatre Camins y la Generalitat ha interpuesto una denuncia al juzgado de Martorell, que se ha hecho cargo del caso.";Sucesos
Un conductor muere al caer con su coche al canal de Aragón y Catalunya;https://www.lavanguardia.com/sucesos/20250528/10730795/conductor-muere-caer-coche-canal-aragon-catalunya.html;28/05/2025;El mortal siniestro se ha producido sobre las 7.50 horas. Un vecino de la comarca del Segrià que conducía por la carretera A-140 se ha salido de la vía con su todoterreno y ha ido a caer en el interior del canal Aragón y Catalunya, a la altura de la localidad de Albelda, en la provincia de Huesca. La víctima es un hombre de 51 años por el que ni los efectivos sanitarios, ni bomberos, ni Guardia Civil han podido hacer nada para salvarle la vida. Su cadáver ha sido directamente llevado al Instituto de Medicina Legal de Huesca para que se le practicara la autopsia.;Sucesos
Macrooperativo de Mossos y Guardia Civil para desarticular “la mayor red de tráfico de drogas de Catalunya”;https://www.lavanguardia.com/sucesos/20250603/10747406/macrooperativo-mossos-guardia-civil-desarticular-mayor-asd-red-trafico-drogas-catalunya.html;03/06/2025;Los Mossos d'Esquadra han detenido a un total de 28 personas en Catalunya en el marco de un macrodispositivo contra el tráfico de drogas y armas en el que han participado más de 400 agentes del cuerpo policial, informa la policía en un apunte en la red social 'X' recogido por Europa Press. En este macrodispositivo desplegado entre Girona, Barcelona y algunes ciudades de Tarragona se ha desarticulado 3 organizaciones criminales, se han incautado cocaína, heroína, cogollos de marihuana y se han desmantelado 11 plantaciones de esta última sustancia. Además, también han requisado 8 armas de fuego, munición y 72.350 euros en efectivo.;Sucesos
Un grave accidente entre dos motos en Catalunya deja dos heridos, uno de ellos en estado grave;https://www.lavanguardia.com/sucesos/20250303/10440192/grave-accidente-dos-motos-catalunya-deja-dos-heridos-grave-asd.html;03/03/2025;Un accidente de tráfico entre dos motoristas en Catalunya ha dejado en estado grave a un hombre. Una mujer también ha resultado herida en estado menos grave. Así se desprende de la información publicada por elDiari de Girona. La colisión entre las dos motos tuvo lugar este domingo 2 de marzo sobre las 16:30 horas en la carretera GI-614, en Cadaqués (Girona). El accidente obligó a cortar la vía en los dos sentidos de la marcha.;Sucesos
Desarticulado el mayor grupo de narcotráfico internacional con base en Catalunya;https://www.lavanguardia.com/sucesos/20250124/10316293/desarticulado-mayor-grupo-narcotrafico-internacional-base-catalunya.html;24/01/2025;La Guardia Civil ha desarticulado uno de los mayores grupos de crimen organizado del narcotráfico —sobre todo cocaína—, asentado principalmente en la provincia de Barcelona, que se ha saldado con 25 personas detenidas, entre ellas un estibador del puerto de Barcelona, y la intervención de 48 armas de fuego —algunas de guerra como automáticas y fusiles. El delegado del Gobierno en Catalunya, Carlos Prieto, el General Jefe de la Guardia Civil, Pedro Antonio Pizarro, y los dos capitanes responsables de la operación, denominada 'Miltruck Frenchi', han informado este viernes en una rueda de prensa de los detalles de este grupo criminal y de la investigación.;Sucesos
Cae el principal grupo criminal de robos en cajas fuertes en joyerías e inmobiliarias de Catalunya;https://www.lavanguardia.com/sucesos/20250206/10357678/cae-principal-grupo-criminal-robos-cajas-fuertes-joyerias-e-inmobiliarias-catalunya-asd.html;06/02/2025;Los Mossos d'Esquadra y la Policía Nacional desarticularon el pasado 26 de enero un grupo dedicado al robo de cajas fuertes en joyerías e inmobiliarias de Catalunya. Los investigadores detuvieron a cinco personas implicadas en 17 delitos de robos con fuerza con un valor de 700.000 euros en diferentes establecimientos de todo el territorio desde enero de 2024. Los detenidos acumulaban más de 150 detenciones, gran parte de ellas relacionadas con hechos similares cometidos en diferentes puntos del estado. El grupo utilizaba la técnica del oxicorte, un método basado en una combinación de gases que permite cortar metales resistentes con facilidad.;Sucesos
Los restos óseos hallados en una cueva en Huéscar son los de la niña desaparecida en Cúllar hace 42 años: sus hermanos viven ahora en Catalunya;https://www.lavanguardia.com/sucesos/20250305/10447053/restos-oseos-hallados-cueva-huescar-son-nina-desaparecida-cullar-42-anos-hermanos-viven-catalunya-asd.html;05/03/2025;Los restos óseos hallados en una cueva de Huéscar, en Andalucía se tratarían del cuerpo de la niña desaparecida en Cúllar hace 42 años. Fueron hallados por un pastor en un paraje de difícil acceso de la sima del Carrascal en diciembre de 2023. Así se desprende de la información publicada porGranada Hoy. Fuentes solventes cercanas a la investigación han asegurado al citado medio que todo apunta a que se trata del cuerpo de la menor de 10 años, Dolores García Rodríguez, que desapareció en Cúllar (por entonces Cúllar Baza) el 30 de octubre de 1983, durante las fiestas de la localidad del norte de la provincia de Granada. Los restos de la niña fueron encontrados junto a otros huesos, correspondientes a una persona adulta, y también podrían estar identificados.;Sucesos
