,mes,nom_mes,any,regio_policial,area_basica_policial,titol_codi_penal,tipus_de_fet,coneguts,resolts,detencions,id
0,9,setembre,2024,Central,Osona,De les falsedats,De la usurpació de l'estat civil,3,4,0,130
1,9,setembre,2024,Central,Osona,De les falsedats,Falsedats documentals,4,3,0,209
2,9,setembre,2024,Central,Osona,De les falsedats,Falsificació de moneda i efectes timbrats,1,0,0,641
3,9,setembre,2024,Central,Osona,De les lesions,Lesions,23,23,7,719
4,4,abril,2025,Regió Virtual,Virtual,De les falsedats,De la usurpació de l'estat civil,452,9,0,757
5,4,abril,2025,Regió Virtual,Virtual,De les falsedats,Falsedats documentals,8,2,0,1145
6,4,abril,2025,Regió Virtual,Virtual,De les falsedats,Usurpació de funcions públiques i intrusisme,4,1,0,2335
7,4,abril,2025,Regió Virtual,Virtual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,3,0,0,2565
8,4,abril,2025,Regió Virtual,Virtual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,6237,430,0,2761
9,4,abril,2025,Regió Virtual,Virtual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,12,3,0,3065
10,9,setembre,2024,Central,Osona,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,19,18,9,3221
11,5,maig,2025,Central,Anoia,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,3,1,2,3576
12,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Conducció temerària,2,2,0,3938
13,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,5301
14,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,1,1,0,5817
15,5,maig,2025,Central,Solsonès,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,6407
16,5,maig,2025,Central,Solsonès,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,0,1,1,6720
17,5,maig,2025,Central,Berguedà,De les lesions,Lesions,2,3,1,7307
18,5,maig,2025,Terres de l'Ebre,Baix Ebre,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,13,2,1,7711
19,5,maig,2025,Terres de l'Ebre,Baix Ebre,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,7,0,1,9161
20,5,maig,2025,Terres de l'Ebre,Baix Ebre,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,25,5,1,11741
21,5,maig,2025,Terres de l'Ebre,Montsià,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,1,1,12512
22,5,maig,2025,Terres de l'Ebre,Montsià,De les lesions,Lesions,8,7,1,12671
23,5,maig,2025,Terres de l'Ebre,Montsià,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,3,0,0,15956
24,5,maig,2025,Girona,Alt Empordà - Roses,Delictes contra la llibertat,Detenció il·legal,0,1,0,17465
25,5,maig,2025,Girona,Alt Empordà - Roses,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,17812
26,5,maig,2025,Girona,Baix Empordà - La Bisbal,Delictes contra la seguretat viària,Conduir sense permís,3,2,0,19100
27,5,maig,2025,Girona,Baix Empordà - Sant Feliu,Delictes contra la seguretat viària,Conduir sense permís,2,2,1,19407
28,5,maig,2025,Girona,Baix Empordà - Sant Feliu,De les falsedats,De la usurpació de l'estat civil,1,1,0,19561
29,5,maig,2025,Girona,Baix Empordà - Sant Feliu,De les lesions,Lesions,7,8,2,19640
30,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,6,3,0,19716
31,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,75,7,1,19981
32,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,150,12,4,20520
33,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,1,0,0,21725
34,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,134,32,5,23217
35,9,setembre,2024,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,10,8,0,23567
36,5,maig,2025,Girona,Garrotxa,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,4,4,0,24075
37,5,maig,2025,Girona,Garrotxa,Delictes contra les relacions familiars,Contra els drets i deures familiars,1,1,0,24241
38,5,maig,2025,Girona,Garrotxa,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,0,0,1,24398
39,5,maig,2025,Girona,Garrotxa,De les falsedats,Usurpació de funcions públiques i intrusisme,2,0,0,24522
40,5,maig,2025,Girona,Garrotxa,De les lesions,Lesions,5,4,1,25333
41,5,maig,2025,Metropolitana Sud,Garraf,Delictes contra la llibertat,Detenció il·legal,1,1,0,33361
42,5,maig,2025,Metropolitana Sud,Garraf,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,35007
43,5,maig,2025,Metropolitana Sud,Garraf,Delictes contra les relacions familiars,Contra els drets i deures familiars,1,1,0,35999
44,5,maig,2025,Metropolitana Sud,Garraf,De les falsedats,Falsedats documentals,1,1,0,36117
45,5,maig,2025,Metropolitana Sud,Garraf,De les lesions,Lesions,8,6,1,36349
46,5,maig,2025,Metropolitana Sud,l'Hospitalet de Llobregat,Delictes contra la llibertat,Coaccions,10,8,2,36971
47,5,maig,2025,Metropolitana Sud,l'Hospitalet de Llobregat,Delictes contra la llibertat,Detenció il·legal,3,3,3,37759
48,5,maig,2025,Metropolitana Sud,Sant Boi de Llobregat,De les falsedats,Falsedats documentals,1,1,0,39431
49,5,maig,2025,Metropolitana Sud,Sant Boi de Llobregat,De les lesions,Lesions,1,1,1,39470
50,5,maig,2025,Metropolitana Sud,Cornellà de Llobregat,De les falsedats,Falsedats documentals,0,1,0,40733
51,5,maig,2025,Metropolitana Sud,Cornellà de Llobregat,De les falsedats,Falsificació de moneda i efectes timbrats,4,3,0,41593
52,5,maig,2025,Metropolitana Nord,Arenys de Mar,Delictes contra la seguretat viària,Conduir sense permís,12,12,0,42758
53,5,maig,2025,Metropolitana Nord,Granollers,Delictes contra la seguretat viària,Conduir sense permís,2,2,0,45098
54,5,maig,2025,Metropolitana Nord,Cerdanyola,Delictes contra la llibertat,Amenaces,9,9,3,45836
55,5,maig,2025,Metropolitana Nord,Cerdanyola,Delictes contra la llibertat,Coaccions,2,2,0,45914
56,5,maig,2025,Metropolitana Nord,Sabadell,Delictes contra l'Administració de justícia,Trencament de condemna,21,19,8,46145
57,5,maig,2025,Alt Pirineu i Aran,Vall d'Aran - Alta Ribagorça,De les lesions,Lesions,5,6,2,46223
58,5,maig,2025,Ponent,Segrià,Delictes contra la seguretat viària,Conduir sota els efectes d'alcohol i drogues,7,8,0,46547
59,5,maig,2025,Ponent,Segrià,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,47015
60,5,maig,2025,Ponent,Segrià,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,1,0,47132
61,5,maig,2025,Ponent,Segarra - Urgell,De l’homicidi i les seves formes,Homicidi Temptativa,1,1,1,47322
62,5,maig,2025,Ponent,Segarra - Urgell,De les falsedats,Falsedats documentals,0,1,0,47477
63,5,maig,2025,Ponent,Segarra - Urgell,De les lesions,Lesions,11,10,4,47673
64,5,maig,2025,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,21,4,1,48022
65,5,maig,2025,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,7,2,0,48699
66,5,maig,2025,Ponent,Segarra - Urgell,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,20,3,4,49009
67,5,maig,2025,Ponent,Noguera,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,2,1,0,49048
68,5,maig,2025,Ponent,Noguera,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,3,1,3,49630
69,5,maig,2025,Ponent,Pla d'Urgell - Garrigues,Delictes contra la seguretat viària,Conduir sense permís,1,1,0,50967
70,5,maig,2025,Camp de Tarragona,Baix Camp - Priorat,Delictes contra la seguretat viària,Conducció temerària,1,1,0,51278
71,5,maig,2025,Camp de Tarragona,Baix Camp - Priorat,Delictes contra la seguretat viària,Conduir sense permís,13,13,0,51707
72,6,juny,2025,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,49,20,0,51915
73,6,juny,2025,Central,Osona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,17,7,7,51955
74,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,2,0,0,52075
75,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,6,1,0,52784
76,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,1,1,0,52822
77,6,juny,2025,Central,Anoia,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,1,0,0,53173
78,6,juny,2025,Central,Anoia,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,1,1,0,53895
79,6,juny,2025,Central,Anoia,Delictes contra la llibertat,Amenaces,2,1,0,54136
80,6,juny,2025,Central,Anoia,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,1,1,0,54563
81,6,juny,2025,Central,Anoia,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,0,1,54641
82,6,juny,2025,Central,Anoia,Dels delictes contra la seguretat col·lectiva,Risc catastròfic,0,1,0,54990
83,6,juny,2025,Central,Anoia,De l’homicidi i les seves formes,Homicidi per imprudència,1,1,1,55866
84,6,juny,2025,Central,Anoia,De les lesions,Lesions,5,7,1,56218
85,6,juny,2025,Terres de l'Ebre,Montsià,Delictes contra la seguretat viària,Negativa a sotmetre's a les proves,4,4,0,57302
86,6,juny,2025,Girona,Garrotxa,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,2,2,57978
87,6,juny,2025,Girona,Garrotxa,De les falsedats,Usurpació de funcions públiques i intrusisme,1,0,0,58209
88,6,juny,2025,Girona,Garrotxa,De les lesions,Lesions,4,5,2,58404
89,6,juny,2025,Girona,Selva Litoral,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,31,7,1,58716
