card_id,status
CcU-2938,Active
CcU-2945,Active
CcU-2952,Active
CcU-2959,Active
CcU-2966,Active
CcU-2973,Active
CcU-2980,Active
CcU-2987,Active
CcU-2994,Active
CcU-3001,Active
CcU-3008,Active
CcU-3015,Active
CcU-3022,Active
CcU-3029,Active
CcU-3036,Active
CcU-3043,Active
CcU-3050,Active
CcU-3057,Active
CcU-3064,Active
CcU-3071,Active
CcU-3078,Active
CcU-3085,Active
CcU-3092,Active
CcU-3099,Active
CcU-3106,Active
CcU-3113,Active
CcU-3120,Active
CcU-3127,Active
CcU-3134,Active
CcU-3141,Active
CcU-3148,Active
CcU-3155,Active
CcU-3162,Active
CcU-3169,Active
CcU-3176,Active
CcU-3183,Active
CcU-3190,Active
CcU-3197,Active
CcU-3204,Active
CcU-3211,Active
CcU-3218,Active
CcU-3225,Active
CcU-3232,Active
CcU-3239,Active
CcU-3246,Active
CcU-3253,Active
CcU-3260,Active
CcU-3267,Active
CcU-3274,Active
CcU-3281,Active
CcU-3288,Active
CcU-3295,Active
CcU-3302,Active
CcU-3309,Active
CcU-3316,Active
CcU-3323,Active
CcU-3330,Active
CcU-3337,Active
CcU-3344,Active
CcU-3351,Active
CcU-3358,Active
CcU-3365,Active
CcU-3372,Active
CcU-3379,Active
CcU-3386,Active
CcU-3393,Active
CcU-3400,Active
CcU-3407,Active
CcU-3414,Active
CcU-3421,Active
CcU-3428,Active
CcU-3435,Active
CcU-3442,Active
CcU-3449,Active
CcU-3456,Active
CcU-3463,Active
CcU-3470,Active
CcU-3477,Active
CcU-3484,Active
CcU-3491,Active
CcU-3498,Active
CcU-3505,Active
CcU-3512,Active
CcU-3519,Active
CcU-3526,Active
CcU-3533,Active
CcU-3540,Active
CcU-3547,Active
CcU-3554,Active
CcU-3561,Active
CcU-3568,Active
CcU-3575,Active
CcU-3582,Active
CcU-3589,Active
CcU-3596,Active
CcU-3603,Active
CcU-3610,Active
CcU-3617,Active
CcU-3624,Active
CcU-3631,Active
CcU-3638,Active
CcU-3645,Active
CcU-3652,Active
CcU-3659,Active
CcU-3666,Active
CcU-3673,Active
CcU-3680,Active
CcU-3687,Active
CcU-3694,Active
CcU-3701,Active
CcU-3708,Active
CcU-3715,Active
CcU-3722,Active
CcU-3729,Active
CcU-3736,Active
CcU-3743,Active
CcU-3750,Active
CcU-3757,Active
CcU-3764,Active
CcU-3771,Active
CcU-3778,Active
CcU-3785,Active
CcU-3792,Active
CcU-3799,Active
CcU-3806,Active
CcU-3813,Active
CcU-3820,Active
CcU-3827,Active
CcU-3834,Active
CcU-3841,Active
CcU-3848,Active
CcU-3855,Active
CcU-3862,Active
CcU-3869,Active
CcU-3876,Active
CcU-3883,Active
CcU-3890,Active
CcU-3897,Active
CcU-3904,Active
CcU-3911,Active
CcU-3918,Active
CcU-3925,Active
CcU-3932,Active
CcU-3939,Active
CcU-3946,Active
CcU-3953,Active
CcU-3960,Active
CcU-3967,Active
CcU-3974,Active
CcU-3981,Active
CcU-3988,Active
CcU-3995,Active
CcU-4002,Active
CcU-4009,Active
CcU-4016,Active
CcU-4023,Active
CcU-4030,Active
CcU-4037,Active
CcU-4044,Active
CcU-4051,Active
CcU-4058,Active
CcU-4065,Active
CcU-4072,Active
CcU-4079,Active
CcU-4086,Active
CcU-4093,Active
CcU-4100,Active
CcU-4107,Active
CcU-4114,Active
CcU-4121,Active
CcU-4128,Active
CcU-4135,Active
CcU-4142,Active
CcU-4149,Active
CcU-4156,Active
CcU-4163,Active
CcU-4170,Active
CcU-4177,Active
CcU-4184,Active
CcU-4191,Active
CcU-4198,Active
CcU-4205,Active
CcU-4212,Active
CcU-4219,Active
CcU-4226,Active
CcU-4233,Active
CcU-4240,Active
CcU-4247,Active
CcU-4254,Active
CcU-4261,Active
CcU-4268,Active
CcU-4275,Active
CcU-4282,Active
CcU-4289,Active
CcU-4296,Active
CcU-4303,Active
CcU-4310,Active
CcU-4317,Active
CcU-4324,Active
CcU-4331,Active
CcU-4338,Active
CcU-4345,Active
CcU-4352,Active
CcU-4359,Active
CcU-4366,Active
CcU-4373,Active
CcU-4380,Active
CcU-4387,Active
CcU-4394,Active
CcU-4401,Active
CcU-4408,Active
CcU-4415,Active
CcU-4422,Active
CcU-4429,Active
CcU-4436,Active
CcU-4443,Active
CcU-4450,Active
CcU-4457,Active
CcU-4464,Active
CcU-4471,Active
CcU-4478,Active
CcU-4485,Active
CcU-4492,Active
CcU-4499,Active
CcU-4506,Active
CcU-4513,Active
CcU-4520,Active
CcU-4527,Active
CcU-4534,Active
CcU-4541,Active
CcU-4548,Active
CcU-4555,Active
CcU-4562,Active
CcU-4569,Active
CcU-4576,Active
CcU-4583,Active
CcU-4590,Active
CcU-4597,Active
CcU-4604,Active
CcU-4611,Active
CcU-4618,Active
CcU-4625,Active
CcU-4632,Active
CcU-4639,Active
CcU-4646,Active
CcU-4653,Active
CcU-4660,Active
CcU-4667,Active
CcU-4674,Active
CcU-4681,Active
CcU-4688,Active
CcU-4695,Active
CcU-4702,Active
CcU-4709,Active
CcU-4716,Active
CcU-4723,Active
CcU-4730,Active
CcU-4737,Active
CcU-4744,Active
CcU-4751,Active
CcU-4758,Active
CcU-4765,Active
CcU-4772,Active
CcU-4779,Active
CcU-4786,Active
CcU-4793,Active
CcU-4800,Active
CcU-4807,Active
CcU-4814,Active
CcU-4821,Active
CcU-4828,Active
CcU-4835,Active
CcU-4842,Active
CcU-4849,Active
CcU-4856,Active
