"id","product_name","price","colour","weight","warehouse_id"
"1","Direwolf Stannis","161.11000061","#7c7c7c","1","WH-4"
"2","Tarly Stark","9.2399997711","#919191","2","WH-3"
"3","duel tourney Lannister","171.13000488","#d8d8d8","1.5","WH-2"
"4","warden south duel","71.88999939","#111111","3","WH-1"
"5","skywalker ewok","171.22000122","#dbdbdb","3.2000000477","WH-0"
"6","dooku solo","136.6000061","#c4c4c4","0.8000000119","WH-1"
"7","north of Casterly","63.330001831","#b7b7b7","0.6000000238","WH-2"
"8","Winterfell","32.369998932","#383838","1.3999999762","WH-3"
"9","Winterfell","76.400001526","#b5b5b5","1.2000000477","WH-4"
"10","Karstark Dorne","119.51999664","#f4f4f4","2.4000000954","WH-5"
"11","Karstark Dorne","49.700000763","#141414","2.7000000477","WH-6"
"12","duel Direwolf","181.6000061","#a8a8a8","2.0999999046","WH-7"
"13","palpatine chewbacca","139.58999634","#2b2b2b","1","WH-8"
"14","Direwolf","147.52999878","#c4c4c4","2","WH-9"
"15","Stannis warden","194.28999329","#dbdbdb","1.5","WH-10"
"16","the duel warden","180.91000366","#666666","3","WH-11"
"17","skywalker ewok sith","91.88999939","#7c7c7c","3.2000000477","WH-12"
"18","Karstark warden","148.91000366","#c4c4c4","0.8000000119","WH-13"
"19","dooku solo","60.330001831","#3f3f3f","0.6000000238","WH-14"
"20","warden Karstark","91.959999084","#b5b5b5","1.3999999762","WH-15"
"21","duel Direwolf","96.900001526","#e2e2e2","1.2000000477","WH-16"
"22","chewbacca mustafar","150.02000427","#fcfcfc","2.4000000954","WH-17"
"23","riverlands north","169.96000671","#545454","2.7000000477","WH-18"
"24","south duel tourney","48.990001678","#aaaaaa","2.0999999046","WH-19"
"25","skywalker ewok","157.52999878","#2b2b2b","1","WH-20"
"26","Stark Karstark","53.009998322","#898989","2","WH-21"
"27","Stannis riverlands","172.92999268","#7a7a7a","1.5","WH-22"
"28","chewbacca mustafar","127.44000244","#efefef","3","WH-23"
"29","Tully maester Tarly","167.19999695","#111111","3.2000000477","WH-24"
"30","Karstark warden","79.529998779","#606060","0.8000000119","WH-25"
"31","Lannister","85.019996643","#3f3f3f","0.6000000238","WH-26"
"32","north","178.27999878","#0f0f0f","1.3999999762","WH-27"
"33","duel warden","127.08999634","#191919","1.2000000477","WH-28"
"34","of north","128.47999573","#919191","2.4000000954","WH-29"
"35","the giantsblood maester","107.16999817","#8c8c8c","2.7000000477","WH-30"
"36","Lannister","96.220001221","#a5a5a5","2.0999999046","WH-31"
"37","Direwolf Littlefinger","26.659999847","#aaaaaa","1","WH-32"
"38","ewok sith","55.430000305","#666666","2","WH-33"
"39","warden","196.6499939","#a0a0a0","1.5","WH-34"
"40","tatooine dooku solo","73.309997559","#070707","3","WH-35"
